feature	Actinomyces	Bifidobacterium	Rothia	Atopobium	Collinsella	f__Coriobacteriales_Incertae_Sedis.g__uncultured	Adlercreutzia	Eggerthella	Enterorhabdus	Gordonibacter	Senegalimassilia	Slackia	f__Eggerthellaceae.g__uncultured	Bacteroides	Barnesiella	Coprobacter	f__Barnesiellaceae.g__uncultured	Butyricimonas	Odoribacter	Muribaculaceae	Alloprevotella	Paraprevotella	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Alistipes	Parabacteroides	Tannerellaceae	Gastranaerophilales	Bilophila	Desulfovibrio	f__Desulfovibrionaceae.g__uncultured	Catenibacterium	Erysipelatoclostridium	Erysipelotrichaceae_UCG.003	Dielma	Holdemanella	Holdemania	Merdibacter	Turicibacter	X.Clostridium._innocuum_group	Lactococcus	Streptococcus	o__Lactobacillales.f__unassigned.g__unassigned	RF39	Gemella	Christensenellaceae_R.7_group	f__Christensenellaceae.g__unassigned	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Agathobacter	Anaerostipes	Blautia	CAG.56	Coprococcus	Dorea	Eisenbergiella	Frisingicoccus	Fusicatenibacter	GCA.900066575	Howardella	Hungatella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Marvinbryantia	Roseburia	Sellimonas	Tuzzerella	Tyzzerella	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._gnavus_group	X.Ruminococcus._torques_group	f__Lachnospiraceae.g__unassigned	Monoglobus	Butyricicoccus	UCG.009	Colidextribacter	Flavonifractor	Intestinimonas	NK4A214_group	Oscillibacter	Oscillospira	Pseudoflavonifractor	UCG.002	UCG.003	UCG.005	f__Oscillospiraceae.g__unassigned	f__Oscillospiraceae.g__uncultured	Anaerofilum	Anaerotruncus	CAG.352	Candidatus_Soleaferrea	DTU089	Faecalibacterium	Fournierella	Incertae_Sedis	Negativibacillus	Paludicola	Ruminococcus	Subdoligranulum	UBA1819	X.Eubacterium._siraeum_group	f__Ruminococcaceae.g__unassigned	f__Ruminococcaceae.g__uncultured	UCG.010	X.Clostridium._methylpentosum_group	X.Eubacterium._coprostanoligenes_group	Peptococcus	f__Peptococcaceae.g__uncultured	Family_XIII_AD3011_group	Family_XIII_UCG.001	Mogibacterium	X.Eubacterium._brachy_group	Parvimonas	Intestinibacter	Peptostreptococcus	Romboutsia	Terrisporobacter	Acidaminococcus	Phascolarctobacterium	Dialister	Megasphaera	Veillonella	Fusobacterium	o__Rhodospirillales.f__uncultured.g__uncultured	Parasutterella	Sutterella	Escherichia.Shigella	Haemophilus	Akkermansia	Corynebacterium	Olsenella	Faecalitalea	Enterococcus	Lactobacillus	Ligilactobacillus	Staphylococcus	Sphingobium	Klebsiella	f__Enterobacteriaceae.g__unassigned	Pseudomonas
Cah8-297-CE	4	1326	0	0	921	7	7	0	20	0	75	15	32	1821	309	0	19	168	66	0	0	68	0	0	2819	0	267	130	0	306	23	0	90	0	0	127	0	0	2	7	23	0	0	61	2	91	0	80	140	351	24	113	757	145	2011	30	739	218	0	0	481	20	30	0	63	15	25	236	191	24	8	16	29	0	0	0	221	192	0	7	0	70	0	310	441	59	18	10	25	7	8	14	37	3	0	645	58	193	25	56	0	2	0	2	0	3155	12	57	9	0	963	477	0	5	0	94	15	0	209	7	0	45	5	40	0	2	22	0	256	16	0	123	0	15	0	0	6	0	146	0	6	114	0	21	0	0	0	0	0	0	0	0	0
Cah8-297-RE	3	1419	5	0	1191	4	12	0	31	0	101	27	37	1854	326	0	10	183	62	0	0	64	0	0	2744	0	299	138	0	256	22	0	20	0	0	126	0	0	2	15	23	0	0	101	0	138	0	115	193	448	27	123	811	233	2031	49	835	233	0	0	527	16	18	0	66	7	48	209	190	22	7	31	34	0	0	0	244	158	6	25	0	76	0	304	475	70	29	5	22	0	2	28	28	2	0	746	47	238	33	74	0	3	0	0	0	3295	6	71	11	0	955	450	0	6	0	121	29	0	291	14	0	34	5	82	0	0	29	0	366	36	0	153	0	18	2	0	5	4	148	0	15	184	0	51	0	0	0	0	0	0	0	0	0
Cah8-298-RE	11	894	11	0	0	0	0	0	0	273	0	0	0	2798	0	0	0	0	81	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	14	0	0	0	0	87	7	3	69	212	5	0	0	24	0	106	0	0	145	262	3463	0	0	671	28	108	180	74	0	61	150	0	0	0	37	164	259	0	774	219	16	0	52	162	0	87	0	0	102	1808	268	5	25	2	83	151	216	24	184	3	5	264	15	415	90	144	4	0	0	9	0	3241	92	233	380	60	479	93	145	0	0	22	0	3	154	89	0	0	0	0	0	0	0	0	80	0	0	114	0	0	3	0	152	54	0	0	0	0	0	0	0	0	25	0	6	0	0	0	0
Cah8-299-CE	18	13	0	8	1580	0	51	400	0	5	0	0	0	7552	0	784	4	71	87	0	0	360	0	54	0	0	562	268	0	0	156	0	0	0	0	34	7	0	37	0	0	18	0	162	0	6	0	17	0	0	0	0	0	451	2473	42	191	370	0	0	131	0	66	14	949	2	3	4	3	35	474	3	11	97	0	0	0	445	0	0	0	157	2848	5201	2056	0	44	0	279	747	50	0	206	0	0	198	26	82	0	116	0	31	0	17	0	555	0	10	0	0	0	54	98	0	60	49	0	0	107	0	0	0	0	2	0	2	0	14	13	0	0	398	0	0	4	2	162	570	0	0	0	29	0	0	33	0	0	0	0	0	0	0	0
Cah8-300-CE	16	276	0	0	2277	0	4	2	70	4	373	48	84	5070	191	29	7	39	72	116	843	66	0	0	507	0	181	1314	0	74	135	28	14	282	0	7	0	149	0	0	0	0	3	152	3	0	4	43	0	14	0	0	159	89	3104	573	669	1955	5	0	257	0	75	0	359	17	66	106	23	34	215	26	663	0	0	0	7	217	13	8	0	0	0	1670	1177	0	62	0	111	10	7	43	54	29	0	531	0	12	28	44	2	7	0	4	6	2158	0	69	16	2	668	1058	9	0	9	26	0	0	56	0	0	21	10	2	17	4	0	0	3	0	38	226	0	0	17	8	13	10	918	0	27	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-301-RE	0	47	0	0	473	0	152	24	0	4	0	0	0	6682	518	48	0	58	191	0	0	0	0	0	0	101	108	223	7	69	42	0	6	0	0	62	0	0	31	16	0	0	0	75	0	12	0	94	141	95	5	20	48	16	681	271	741	294	0	0	59	10	0	0	1096	0	7	62	48	67	383	12	249	0	0	0	9	61	0	0	0	9	325	371	1264	0	28	0	79	24	23	2	106	34	3	174	39	231	4	111	0	0	341	0	0	3055	0	32	108	0	35	642	8	8	2	29	26	6	39	0	0	25	0	0	6	0	0	0	0	0	0	280	0	0	0	0	138	40	904	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Cah8-302-CE	3	0	0	0	84	0	0	62	5	55	29	12	0	7307	470	264	0	178	294	0	0	259	0	0	0	0	327	671	0	0	30	0	5	0	157	58	564	0	29	0	0	6	0	39	4	0	2	5	4	99	0	0	0	10	282	0	45	144	52	1908	0	14	0	0	958	0	4	74	0	30	111	18	22	27	549	0	0	24	0	0	0	0	0	2484	1962	0	37	3	189	670	83	3	256	44	0	70	117	58	15	234	0	25	9	4	0	604	0	70	12	0	8	105	360	0	5	31	0	14	5	0	18	5	0	0	0	0	2	0	0	0	0	1048	0	0	4	0	357	46	308	3482	0	0	0	0	3	0	0	0	0	0	0	0	0
Cah8-302-RE	9	11	3	0	149	0	0	80	0	62	75	30	0	5571	509	172	0	150	372	0	0	192	0	0	0	0	243	447	0	0	54	0	25	0	77	24	371	0	25	0	0	0	11	73	5	0	0	30	9	123	0	2	0	9	315	0	122	241	64	1167	10	35	0	2	650	0	0	63	0	49	91	4	39	26	381	0	0	54	0	0	0	0	0	1822	1379	0	52	10	174	407	45	13	183	18	5	60	103	98	8	196	13	12	11	5	0	1531	0	56	6	0	5	79	225	0	3	44	0	7	11	0	17	0	0	0	0	4	15	0	0	0	0	750	0	0	0	0	308	40	478	2470	0	0	0	0	2	0	0	0	0	0	0	0	0
Cah8-303-CE	0	235	0	0	1629	0	73	0	0	22	0	0	0	4729	206	0	0	29	52	0	0	0	0	0	0	0	325	98	0	0	14	0	0	191	0	59	0	408	0	0	3	0	0	95	0	49	0	224	60	48	35	34	1302	46	1640	119	946	344	0	0	924	24	0	0	553	146	24	36	66	24	18	24	79	0	0	0	167	167	0	74	0	17	0	107	262	94	53	6	35	10	54	14	40	0	0	210	21	164	6	88	0	0	1465	0	0	5816	0	59	0	0	200	718	31	0	3	10	41	0	87	0	0	16	15	0	0	0	24	0	170	0	0	158	0	0	0	0	0	364	32	0	4	107	0	0	0	0	0	0	0	0	0	0	0
Cah8-303-RE	0	266	0	0	2041	0	135	0	0	24	0	0	0	5203	259	7	0	43	65	0	0	0	0	0	0	0	416	119	0	0	16	0	0	292	0	57	0	598	0	0	12	4	0	156	0	98	0	281	114	70	33	26	1207	72	1993	139	964	348	0	0	961	25	0	0	522	157	35	59	75	25	20	26	185	0	0	0	171	223	0	77	0	26	0	136	269	82	51	11	42	20	63	12	56	0	0	262	21	117	14	82	0	0	1600	4	0	6483	3	57	0	3	220	905	38	0	0	6	38	0	95	0	0	36	17	0	0	0	45	0	232	0	0	166	0	0	0	0	0	435	56	0	2	158	0	0	0	0	0	0	0	0	0	0	0
Cah8-304-CE	2	3	0	0	150	0	24	69	0	16	0	252	0	3940	643	27	0	176	91	68	2357	0	0	0	8	0	724	143	9	0	144	0	3	27	4	0	0	68	5	9	3	2	0	90	0	0	0	366	50	0	10	37	91	0	277	200	369	442	0	0	17	54	0	0	547	0	11	0	0	64	283	10	163	0	0	0	5	16	0	0	0	7	73	708	4576	5	26	0	9	32	22	22	126	4	0	712	13	1225	21	232	0	0	162	0	0	2236	11	46	121	0	28	182	22	34	11	21	0	0	140	37	0	26	3	0	0	0	76	0	69	0	0	184	35	0	3	3117	411	0	1533	107	9	342	0	0	0	0	0	0	3	0	0	0	0
